# Network Reconnaissance Payloads

## NMAP - Network Scanning

### Basic Scanning
nmap 192.168.1.0/24                                    # Simple ping scan
masscan 0.0.0.0/0 -p80,443 --rate 100000 --excludefile exclude.txt    # Internet-wide scan
masscan 192.168.1.0/24 -p0-65535 --banners --rate 10000                # With banner grabbing

### Zmap - Internet Scanner
zmap -p 80 192.168.1.0/24                                              # Single port scan
zmap -p 443 -o results.csv 192.168.1.0/24                              # Output to CSV
zmap -p 80 -B 10M 192.168.1.0/24                                       # 10 Mbps bandwidth
zmap -p 22 --probe-module=ssh 192.168.1.0/24                           # SSH probing

### Unicornscan - Advanced Scanner
unicornscan -mT 192.168.1.100:1-65535                                  # TCP scan
unicornscan -mU 192.168.1.100:1-1024                                   # UDP scan
unicornscan -mTs 192.168.1.100:a                                       # TCP SYN all ports
unicornscan -r 10000 -mT 192.168.1.100:1-65535                         # Fast rate

### Hping3 - Packet Crafting
hping3 -S 192.168.1.100 -p 80                                          # SYN scan port 80
hping3 -A 192.168.1.100 -p 80                                          # ACK scan
hping3 -F -P -U 192.168.1.100 -p 80                                    # FIN, PUSH, URG scan
hping3 -1 192.168.1.100                                                # ICMP ping
hping3 -2 192.168.1.100 -p 53                                          # UDP scan
hping3 -S --flood 192.168.1.100 -p 80                                  # SYN flood (DoS)
hping3 -c 1000000 -d 120 -S -w 64 -p 80 --flood --rand-source 192.168.1.100  # Spoofed SYN flood

### Banner Grabbing
nc -v 192.168.1.100 80                                                 # Netcat banner grab
echo "" | nc -v -n -w1 192.168.1.100 21-25                             # Port range
telnet 192.168.1.100 80                                                # Telnet banner
curl -I http://192.168.1.100                                           # HTTP headers
curl -v telnet://192.168.1.100:21                                      # FTP banner via curl

### DNS Reconnaissance
nslookup target.com                                                    # Basic DNS lookup
nslookup -type=mx target.com                                           # Mail servers
nslookup -type=ns target.com                                           # Name servers
nslookup -type=any target.com                                          # All records
dig target.com                                                         # DNS query
dig target.com ANY                                                     # All records
dig target.com MX                                                      # Mail exchange
dig target.com NS                                                      # Name servers
dig target.com TXT                                                     # TXT records
dig @8.8.8.8 target.com                                                # Query specific DNS
dig +short target.com                                                  # Short output
dig -x 192.168.1.100                                                   # Reverse DNS
host target.com                                                        # Simple DNS lookup
host -t mx target.com                                                  # MX records
host -t ns target.com                                                  # NS records
host -a target.com                                                     # All records

### DNS Zone Transfer
dig @ns1.target.com target.com axfr                                    # Zone transfer
host -l target.com ns1.target.com                                      # Zone transfer (host)
nmap --script dns-zone-transfer --script-args dns-zone-transfer.domain=target.com -p 53 ns1.target.com
fierce --domain target.com                                             # DNS enumeration
dnsrecon -d target.com -t axfr                                         # Zone transfer attempt
dnsrecon -d target.com -t std                                          # Standard enumeration
dnsenum target.com                                                     # Comprehensive DNS enum

### Subdomain Discovery
sublist3r -d target.com                                                # Sublist3r
amass enum -d target.com                                               # OWASP Amass
amass enum -passive -d target.com                                      # Passive only
amass enum -active -d target.com -brute                                # Active + brute
subfinder -d target.com                                                # Subfinder
assetfinder --subs-only target.com                                     # Assetfinder
findomain -t target.com                                                # Findomain
gobuster dns -d target.com -w wordlist.txt                             # Gobuster DNS
gobuster dns -d target.com -w wordlist.txt -t 50                       # 50 threads
ffuf -w wordlist.txt -u http://FUZZ.target.com                         # FFUF subdomain

### SNMP Enumeration
snmpwalk -v 1 -c public 192.168.1.100                                  # SNMP walk v1
snmpwalk -v 2c -c public 192.168.1.100                                 # SNMP walk v2c
snmpwalk -v 2c -c public 192.168.1.100 .1.3.6.1.2.1.1                  # System info
snmpcheck -t 192.168.1.100                                             # SNMP check
onesixtyone -c community.txt 192.168.1.100                             # Brute force community
nmap -sU -p 161 --script=snmp-brute 192.168.1.100                      # SNMP brute with nmap
nmap -sU -p 161 --script=snmp-* 192.168.1.100                          # All SNMP scripts

### Network Mapping
netdiscover -i eth0 -r 192.168.1.0/24                                  # Active scan
netdiscover -i eth0 -p                                                 # Passive scan
arp-scan -l                                                            # Local network
arp-scan 192.168.1.0/24                                                # Specific subnet
arp-scan -I eth0 192.168.1.0/24                                        # Interface specific
fping -a -g 192.168.1.0/24                                             # Fast ping sweep
fping -a -g 192.168.1.0/24 2>/dev/null                                 # Silent sweep

### Traceroute
traceroute target.com                                                  # Standard traceroute
traceroute -I target.com                                               # ICMP traceroute
traceroute -T -p 80 target.com                                         # TCP traceroute
traceroute -U -p 53 target.com                                         # UDP traceroute
mtr target.com                                                         # Matt's traceroute
tcptraceroute target.com 80                                            # TCP specific
nmap --traceroute target.com                                           # Nmap traceroute
hping3 -T -p 80 -t 1 --tr-keep-ttl --tr-stop target.com                # Hping3 traceroute

### Network Traffic Analysis
tcpdump -i eth0                                                        # Capture all traffic
tcpdump -i eth0 -n                                                     # No DNS resolution
tcpdump -i eth0 -nn                                                    # No DNS/port resolution
tcpdump -i eth0 -w capture.pcap                                        # Write to file
tcpdump -r capture.pcap                                                # Read from file
tcpdump -i eth0 port 80                                                # Filter by port
tcpdump -i eth0 host 192.168.1.100                                     # Filter by host
tcpdump -i eth0 src 192.168.1.100                                      # Source filter
tcpdump -i eth0 dst 192.168.1.100                                      # Destination filter
tcpdump -i eth0 'tcp[tcpflags] & (tcp-syn) != 0'                       # SYN packets only
tshark -i eth0                                                         # Wireshark CLI
tshark -i eth0 -w capture.pcap                                         # Write capture
tshark -r capture.pcap -Y "http"                                       # HTTP filter
tshark -r capture.pcap -Y "dns"                                        # DNS filter

### Service Enumeration Scripts
nmap -p 21 --script=ftp-* 192.168.1.100                                # FTP scripts
nmap -p 22 --script=ssh-* 192.168.1.100                                # SSH scripts
nmap -p 25 --script=smtp-* 192.168.1.100                               # SMTP scripts
nmap -p 53 --script=dns-* 192.168.1.100                                # DNS scripts
nmap -p 80,443 --script=http-* 192.168.1.100                           # HTTP scripts
nmap -p 139,445 --script=smb-* 192.168.1.100                           # SMB scripts
nmap -p 3306 --script=mysql-* 192.168.1.100                            # MySQL scripts
nmap -p 3389 --script=rdp-* 192.168.1.100                              # RDP scripts
nmap -p 5432 --script=pgsql-* 192.168.1.100                            # PostgreSQL scripts
